Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,City,Device,Keyword,Country
CDA1041,Data Analytics Course,444,1600,387.14,48,6,0.125,1428,02-03-2024,London,Mobile,data analytics course online course,UK
CDA1042,Data Analytics Course,166,3587,387.78,7,7,1,2856,01-12-2024,Toronto,Tablet,data analytics course online course,Canada
CDA1043,Data Analytics Course,271,9416,324.55,36,23,0.639,10580,23-07-2024,Montreal,Tablet,data analytics course online course,Canada
CDA1044,Data Analytics Course,396,9951,416.59,36,28,0.778,5544,19-04-2024,San Francisco,Mobile,data analytics course online course,USA
CDA1045,Data Analytics Course,98,9974,498.63,37,32,0.865,3456,03-11-2024,London,Tablet,data analytics course online course,UK
CDA1046,Data Analytics Course,241,4490,349.56,5,1,0.2,487,23-11-2024,London,Tablet,data analytics course online course,UK
CDA1047,Data Analytics Course,295,3619,489.19,14,7,0.5,1694,24-03-2024,Ottawa,Tablet,data analytics course online course,Canada
CDA1048,Data Analytics Course,99,2877,363.26,26,7,0.269,2800,09-12-2024,Chicago,Desktop,data analytics course online course,USA
CDA1049,Data Analytics Course,460,4181,208.69,18,3,0.167,783,13-07-2024,Chicago,Tablet,data analytics course online course,USA
CDA1050,Data Analytics Course,323,1008,496.59,31,15,0.484,4365,14-12-2024,Pune,Desktop,data analytics course online course,India
CDA1051,Data Analytics Course,72,2594,304.67,9,3,0.333,660,25-12-2024,Manchester,Mobile,data analytics course online course,UK
CDA1052,Data Analytics Course,312,5672,115.91,41,19,0.463,1995,19-09-2024,Vancouver,Desktop,data analytics course online course,Canada
CDA1053,Data Analytics Course,313,4385,271.76,41,12,0.293,3792,05-12-2024,Abu Dhabi,Mobile,data analytics course online course,UAE
CDA1054,Data Analytics Course,88,1472,140.27,8,5,0.625,1835,25-08-2024,Boston,Desktop,data analytics course online course,USA
CDA1055,Data Analytics Course,182,2593,268.95,27,15,0.556,4920,12-05-2024,Leeds,Desktop,data analytics course online course,UK
CDA1056,Data Analytics Course,450,1005,263.86,38,30,0.789,12810,19-12-2024,Montreal,Tablet,data analytics course online course,Canada
CDA1057,Data Analytics Course,212,9920,366.59,27,16,0.593,6080,21-08-2024,Mumbai,Desktop,data analytics course online course,India
CDA1058,Data Analytics Course,259,4109,124.88,27,22,0.815,9416,28-03-2024,San Francisco,Mobile,data analytics course online course,USA
CDA1059,Data Analytics Course,341,1819,228.21,47,25,0.532,10525,27-10-2024,Manchester,Tablet,data analytics course online course,UK
CDA1060,Data Analytics Course,244,9515,373.21,34,12,0.353,4704,15-07-2024,Los Angeles,Desktop,data analytics course online course,USA
CDA1061,Data Analytics Course,51,3940,403.28,10,7,0.7,1414,16-07-2024,Calgary,Tablet,data analytics course online course,Canada
CDA1062,Data Analytics Course,212,8679,491.43,37,20,0.541,8300,03-04-2024,Edinburgh,Mobile,data analytics course online course,UK
CDA1063,Data Analytics Course,253,9346,198.88,40,15,0.375,7215,18-07-2024,Chennai,Tablet,data analytics course online course,India
CDA1064,Data Analytics Course,387,5572,351.16,30,9,0.3,1116,13-10-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1065,Data Analytics Course,76,7663,407.12,49,15,0.306,4305,08-12-2024,Chennai,Desktop,data analytics course online course,India
CDA1066,Data Analytics Course,216,7837,335.78,19,15,0.789,1650,21-03-2024,Toronto,Mobile,data analytics course online course,Canada
CDA1067,Data Analytics Course,283,9997,335.02,33,2,0.061,628,19-06-2024,Adelaide,Tablet,data analytics course online course,Australia
CDA1068,Data Analytics Course,275,8289,284.23,36,21,0.583,6510,12-01-2024,Calgary,Mobile,data analytics course online course,Canada
CDA1069,Data Analytics Course,469,4715,252.56,11,8,0.727,1192,15-10-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1070,Data Analytics Course,333,4666,223.56,24,20,0.833,3620,16-10-2024,Boston,Tablet,data analytics course online course,USA
CDA1071,Data Analytics Course,124,7735,201.13,37,29,0.784,2987,11-09-2024,Chennai,Desktop,data analytics course online course,India
CDA1072,Data Analytics Course,379,2879,163.18,15,2,0.133,606,01-01-2024,Leeds,Desktop,data analytics course online course,UK
CDA1073,Data Analytics Course,362,5757,185.65,16,8,0.5,3320,20-12-2024,Birmingham,Mobile,data analytics course online course,UK
CDA1074,Data Analytics Course,467,9369,251.82,28,23,0.821,5083,11-11-2024,Sharjah,Desktop,data analytics course online course,UAE
CDA1075,Data Analytics Course,217,8530,396.84,21,21,1,6405,09-05-2024,Birmingham,Mobile,data analytics course online course,UK
CDA1076,Data Analytics Course,408,5921,490.05,27,3,0.111,768,02-09-2024,Vancouver,Mobile,data analytics course online course,Canada
CDA1077,Data Analytics Course,480,4406,443.16,12,2,0.167,822,19-07-2024,Melbourne,Tablet,data analytics course online course,Australia
CDA1078,Data Analytics Course,69,4614,455.31,26,21,0.808,3171,12-06-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1079,Data Analytics Course,347,2812,479.58,39,7,0.179,3255,04-02-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1080,Data Analytics Course,484,5238,343.12,44,3,0.068,375,20-04-2024,Pune,Mobile,data analytics course online course,India
CDA1081,Data Analytics Course,298,4226,454.37,6,1,0.167,204,08-10-2024,Pune,Mobile,data analytics course online course,India
CDA1082,Data Analytics Course,61,4622,331.43,10,1,0.1,451,24-10-2024,Calgary,Desktop,data analytics course online course,Canada
CDA1083,Data Analytics Course,335,4926,385.2,21,14,0.667,4214,07-12-2024,Perth,Tablet,data analytics course online course,Australia
CDA1084,Data Analytics Course,105,8903,254.57,5,5,1,2000,09-12-2024,Mumbai,Mobile,data analytics course online course,India
CDA1085,Data Analytics Course,492,9680,175.26,47,27,0.574,9828,13-12-2024,Sydney,Tablet,data analytics course online course,Australia
CDA1086,Data Analytics Course,364,9088,235.71,19,16,0.842,3568,28-02-2024,Sydney,Tablet,data analytics course online course,Australia
CDA1087,Data Analytics Course,481,9750,175.66,12,10,0.833,1980,24-12-2024,Birmingham,Desktop,data analytics course online course,UK
CDA1088,Data Analytics Course,496,6204,138.09,44,5,0.114,1445,15-01-2024,Bangalore,Mobile,data analytics course online course,India
CDA1089,Data Analytics Course,80,4086,439.79,24,2,0.083,296,20-10-2024,Sharjah,Mobile,data analytics course online course,UAE
CDA1090,Data Analytics Course,90,3281,248.67,13,7,0.538,3038,03-07-2024,Chicago,Tablet,data analytics course online course,USA
CDA1091,Data Analytics Course,261,5578,379.31,8,3,0.375,528,18-07-2024,Calgary,Desktop,data analytics course online course,Canada
CDA1092,Data Analytics Course,114,8983,154.62,34,6,0.176,1650,23-09-2024,Melbourne,Tablet,data analytics course online course,Australia
CDA1093,Data Analytics Course,107,4684,485.93,35,21,0.6,6048,01-11-2024,Birmingham,Tablet,data analytics course online course,UK
CDA1094,Data Analytics Course,486,4212,108.42,12,11,0.917,2563,22-02-2024,Mumbai,Desktop,data analytics course online course,India
CDA1095,Data Analytics Course,129,2437,114.24,20,14,0.7,5348,05-07-2024,Leeds,Desktop,data analytics course online course,UK
CDA1096,Data Analytics Course,407,2054,276.41,9,5,0.556,1975,15-05-2024,Manchester,Mobile,data analytics course online course,UK
CDA1097,Data Analytics Course,67,3061,322.56,41,34,0.829,16252,12-07-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1098,Data Analytics Course,190,8889,119.33,26,9,0.346,2655,20-09-2024,Delhi,Desktop,data analytics course online course,India
CDA1099,Data Analytics Course,493,5926,148.2,27,2,0.074,846,09-03-2024,Perth,Desktop,data analytics course online course,Australia
CDA1100,Data Analytics Course,94,1317,455.52,43,29,0.674,9193,16-08-2024,Hyderabad,Desktop,data analytics course online course,India
CDA1101,Data Analytics Course,438,8036,464.21,16,1,0.062,194,19-10-2024,New York,Desktop,data analytics course online course,USA
CDA1102,Data Analytics Course,188,4791,477.51,39,35,0.897,11970,06-05-2024,Los Angeles,Mobile,data analytics course online course,USA
CDA1103,Data Analytics Course,122,5876,463.77,38,33,0.868,6600,14-04-2024,Abu Dhabi,Desktop,data analytics course online course,UAE
CDA1104,Data Analytics Course,53,4221,245.98,37,35,0.946,8365,13-11-2024,Delhi,Tablet,data analytics course online course,India
CDA1105,Data Analytics Course,289,2193,173.75,15,6,0.4,984,03-03-2024,Sharjah,Mobile,data analytics course online course,UAE
CDA1106,Data Analytics Course,372,1817,222.27,41,8,0.195,3320,22-06-2024,Adelaide,Desktop,data analytics course online course,Australia
CDA1107,Data Analytics Course,358,8846,111.11,16,9,0.562,2538,26-09-2024,San Francisco,Mobile,data analytics course online course,USA
CDA1108,Data Analytics Course,119,4396,283.06,25,5,0.2,915,20-08-2024,Bangalore,Desktop,data analytics course online course,India
CDA1109,Data Analytics Course,390,5159,374.7,28,13,0.464,1417,18-07-2024,Mumbai,Desktop,data analytics course online course,India
CDA1110,Data Analytics Course,322,3530,355.63,36,13,0.361,4121,23-01-2024,San Francisco,Tablet,data analytics course online course,USA
CDA1111,Data Analytics Course,491,2739,302.91,28,28,1,4956,08-04-2024,Abu Dhabi,Tablet,data analytics course online course,UAE
CDA1112,Data Analytics Course,215,1288,113.83,14,2,0.143,256,03-10-2024,Sharjah,Desktop,data analytics course online course,UAE
CDA1113,Data Analytics Course,477,9861,194.87,32,30,0.938,10950,26-01-2024,Boston,Desktop,data analytics course online course,USA
CDA1114,Data Analytics Course,152,2684,411.09,13,10,0.769,4720,16-04-2024,Toronto,Desktop,data analytics course online course,Canada
CDA1115,Data Analytics Course,480,5582,173.6,50,41,0.82,4141,10-09-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1116,Data Analytics Course,103,7590,492.44,47,11,0.234,4906,23-06-2024,Birmingham,Tablet,data analytics course online course,UK
CDA1117,Data Analytics Course,263,5963,349.15,48,40,0.833,14920,17-05-2024,Manchester,Mobile,data analytics course online course,UK
CDA1118,Data Analytics Course,64,3722,449.83,23,12,0.522,4404,07-03-2024,Mumbai,Mobile,data analytics course online course,India
CDA1119,Data Analytics Course,480,6593,456.44,16,15,0.938,4110,04-02-2024,Perth,Tablet,data analytics course online course,Australia
CDA1120,Data Analytics Course,335,7246,265.64,34,8,0.235,2248,14-08-2024,Sydney,Mobile,data analytics course online course,Australia
CDA1121,Data Analytics Course,66,2278,403.19,43,1,0.023,330,23-06-2024,Dubai,Tablet,data analytics course online course,UAE
CDA1122,Data Analytics Course,80,1082,248.59,45,24,0.533,11544,18-06-2024,Chennai,Mobile,data analytics course online course,India
CDA1123,Data Analytics Course,177,2759,460.24,43,16,0.372,6016,01-12-2024,Hyderabad,Mobile,data analytics course online course,India
CDA1124,Data Analytics Course,56,9363,405.73,9,8,0.889,1296,20-05-2024,Calgary,Desktop,data analytics course online course,Canada
CDA1125,Data Analytics Course,478,6406,119.91,25,20,0.8,3860,02-09-2024,Toronto,Desktop,data analytics course online course,Canada
CDA1126,Data Analytics Course,67,7636,440.4,6,5,0.833,2375,16-11-2024,Perth,Tablet,data analytics course online course,Australia
CDA1127,Data Analytics Course,355,6017,328.28,22,8,0.364,2744,04-02-2024,Sharjah,Mobile,data analytics course online course,UAE
CDA1128,Data Analytics Course,245,1441,208.98,13,2,0.154,464,09-11-2024,Los Angeles,Mobile,data analytics course online course,USA
CDA1129,Data Analytics Course,108,5373,119.66,23,10,0.435,3560,04-11-2024,Chicago,Desktop,data analytics course online course,USA
CDA1130,Data Analytics Course,350,9251,299.07,27,11,0.407,2530,19-12-2024,Edinburgh,Desktop,data analytics course online course,UK
CDA1131,Data Analytics Course,176,4924,440.17,35,27,0.771,10314,11-06-2024,Chicago,Mobile,data analytics course online course,USA
CDA1132,Data Analytics Course,341,6264,440.91,39,26,0.667,5694,23-06-2024,Sydney,Desktop,data analytics course online course,Australia
CDA1133,Data Analytics Course,448,1382,151.71,39,28,0.718,11228,15-03-2024,Bangalore,Desktop,data analytics course online course,India
CDA1134,Data Analytics Course,369,3481,290.55,12,9,0.75,4167,25-07-2024,Perth,Tablet,data analytics course online course,Australia
CDA1135,Data Analytics Course,205,4948,461.83,45,29,0.644,10121,25-06-2024,Mumbai,Desktop,data analytics course online course,India
CDA1136,Data Analytics Course,312,4436,442.74,8,8,1,3408,06-10-2024,Dubai,Tablet,data analytics course online course,UAE
CDA1137,Data Analytics Course,271,8941,230.62,42,38,0.905,11438,25-06-2024,San Francisco,Tablet,data analytics course online course,USA
CDA1138,Data Analytics Course,361,6363,138.39,41,21,0.512,2541,10-06-2024,Toronto,Tablet,data analytics course online course,Canada
CDA1139,Data Analytics Course,281,9712,309.5,30,16,0.533,7776,27-08-2024,Abu Dhabi,Mobile,data analytics course online course,UAE
CDA1140,Data Analytics Course,354,5515,285.25,27,27,1,13284,23-12-2024,Los Angeles,Desktop,data analytics course online course,USA
CDA1141,Data Analytics Course,312,6706,310.19,6,1,0.167,464,25-03-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1142,Data Analytics Course,245,5153,425.61,49,41,0.837,18614,06-07-2024,Boston,Desktop,data analytics course online course,USA
CDA1143,Data Analytics Course,460,5398,126.44,6,2,0.333,884,27-09-2024,Birmingham,Mobile,data analytics course online course,UK
CDA1144,Data Analytics Course,355,1123,116.25,24,10,0.417,3400,16-09-2024,Manchester,Tablet,data analytics course online course,UK
CDA1145,Data Analytics Course,132,3447,245.51,25,4,0.16,1104,19-08-2024,Vancouver,Tablet,data analytics course online course,Canada
CDA1146,Data Analytics Course,315,9926,140.61,17,13,0.765,3458,18-09-2024,Chicago,Desktop,data analytics course online course,USA
CDA1147,Data Analytics Course,461,9487,479.35,43,1,0.023,474,07-05-2024,Leeds,Tablet,data analytics course online course,UK
CDA1148,Data Analytics Course,123,8843,143.58,50,38,0.76,17898,03-02-2024,Dubai,Tablet,data analytics course online course,UAE
CDA1149,Data Analytics Course,336,8032,483.92,14,8,0.571,3736,19-02-2024,Sharjah,Mobile,data analytics course online course,UAE
CDA1150,Data Analytics Course,393,1082,129.73,18,8,0.444,2064,18-07-2024,Edinburgh,Tablet,data analytics course online course,UK
CDA1151,Data Analytics Course,186,8995,167.47,30,3,0.1,552,16-12-2024,Bangalore,Mobile,data analytics course online course,India
CDA1152,Data Analytics Course,265,5187,319.04,40,5,0.125,2435,25-04-2024,London,Desktop,data analytics course online course,UK
CDA1153,Data Analytics Course,234,6576,363.8,19,10,0.526,4810,28-10-2024,San Francisco,Tablet,data analytics course online course,USA
CDA1154,Data Analytics Course,145,9729,291.62,36,26,0.722,4654,27-03-2024,Pune,Desktop,data analytics course online course,India
CDA1155,Data Analytics Course,54,1616,387.59,12,9,0.75,1872,05-11-2024,Adelaide,Desktop,data analytics course online course,Australia
CDA1156,Data Analytics Course,136,5613,331.2,22,16,0.727,2512,21-12-2024,Vancouver,Desktop,data analytics course online course,Canada
CDA1157,Data Analytics Course,98,9863,294.01,43,4,0.093,1904,03-10-2024,Brisbane,Tablet,data analytics course online course,Australia
CDA1158,Data Analytics Course,358,7271,256.58,25,5,0.2,1695,21-02-2024,New York,Mobile,data analytics course online course,USA
CDA1159,Data Analytics Course,306,1432,393.53,6,4,0.667,1636,24-02-2024,Montreal,Tablet,data analytics course online course,Canada
CDA1160,Data Analytics Course,360,6269,225.26,20,5,0.25,590,09-04-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1161,Data Analytics Course,198,5946,417.56,9,8,0.889,1472,01-08-2024,Montreal,Desktop,data analytics course online course,Canada
CDA1162,Data Analytics Course,378,4398,482.46,11,9,0.818,3195,28-01-2024,Ottawa,Mobile,data analytics course online course,Canada
CDA1163,Data Analytics Course,414,3279,474.17,23,16,0.696,2960,20-06-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1164,Data Analytics Course,216,6863,405.2,38,19,0.5,8493,27-07-2024,Birmingham,Mobile,data analytics course online course,UK
CDA1165,Data Analytics Course,303,5622,259.77,15,3,0.2,393,21-02-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1166,Data Analytics Course,230,2524,452.18,13,3,0.231,1323,04-08-2024,San Francisco,Tablet,data analytics course online course,USA
CDA1167,Data Analytics Course,349,5107,465.92,19,14,0.737,6048,14-05-2024,Boston,Mobile,data analytics course online course,USA
CDA1168,Data Analytics Course,340,7618,190.28,19,19,1,8056,17-09-2024,Delhi,Desktop,data analytics course online course,India
CDA1169,Data Analytics Course,215,7410,359.51,36,13,0.361,3263,11-07-2024,Adelaide,Desktop,data analytics course online course,Australia
CDA1170,Data Analytics Course,362,4192,372.11,28,27,0.964,7020,12-08-2024,Melbourne,Mobile,data analytics course online course,Australia
CDA1171,Data Analytics Course,60,3354,176.64,41,37,0.902,16761,17-02-2024,Toronto,Tablet,data analytics course online course,Canada
CDA1172,Data Analytics Course,273,2075,425.38,10,8,0.8,3928,24-04-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1173,Data Analytics Course,63,7364,331.12,47,14,0.298,2604,28-06-2024,Montreal,Tablet,data analytics course online course,Canada
CDA1174,Data Analytics Course,95,3951,167.41,6,5,0.833,1085,03-11-2024,Calgary,Desktop,data analytics course online course,Canada
CDA1175,Data Analytics Course,449,1824,372.86,21,15,0.714,6930,20-11-2024,Calgary,Mobile,data analytics course online course,Canada
CDA1176,Data Analytics Course,326,8373,473.9,21,9,0.429,3501,24-11-2024,Hyderabad,Tablet,data analytics course online course,India
CDA1177,Data Analytics Course,301,1851,216.28,38,32,0.842,5920,08-04-2024,Ottawa,Mobile,data analytics course online course,Canada
CDA1178,Data Analytics Course,238,3382,346.36,13,2,0.154,648,22-10-2024,Toronto,Mobile,data analytics course online course,Canada
CDA1179,Data Analytics Course,155,3900,136.05,33,11,0.333,3003,04-04-2024,Delhi,Mobile,data analytics course online course,India
CDA1180,Data Analytics Course,175,6220,278.78,6,4,0.667,744,05-05-2024,Abu Dhabi,Mobile,data analytics course online course,UAE
CDA1181,Data Analytics Course,85,8013,475.02,9,8,0.889,3632,15-03-2024,Vancouver,Mobile,data analytics course online course,Canada
CDA1182,Data Analytics Course,319,9295,295.67,40,34,0.85,10710,08-07-2024,Toronto,Desktop,data analytics course online course,Canada
CDA1183,Data Analytics Course,255,2415,213.27,42,23,0.548,10465,12-02-2024,Dubai,Mobile,data analytics course online course,UAE
CDA1184,Data Analytics Course,78,5614,483.02,16,8,0.5,3584,03-10-2024,Adelaide,Desktop,data analytics course online course,Australia
CDA1185,Data Analytics Course,387,7504,111.02,14,7,0.5,3115,05-04-2024,New York,Mobile,data analytics course online course,USA
CDA1186,Data Analytics Course,386,4532,416.27,46,10,0.217,3410,17-09-2024,Dubai,Tablet,data analytics course online course,UAE
CDA1187,Data Analytics Course,140,2898,402.74,35,2,0.057,690,23-06-2024,Sydney,Mobile,data analytics course online course,Australia
CDA1188,Data Analytics Course,384,1789,296.93,48,6,0.125,1608,10-07-2024,Sharjah,Tablet,data analytics course online course,UAE
CDA1189,Data Analytics Course,363,8641,354.39,11,8,0.727,2104,02-05-2024,Pune,Tablet,data analytics course online course,India
CDA1190,Data Analytics Course,348,5819,102.19,6,4,0.667,1164,26-09-2024,Abu Dhabi,Tablet,data analytics course online course,UAE
CDA1191,Data Analytics Course,140,6565,441.72,30,16,0.533,7392,16-05-2024,Mumbai,Tablet,data analytics course online course,India
CDA1192,Data Analytics Course,454,3087,225.61,25,13,0.52,5889,15-06-2024,Chennai,Mobile,data analytics course online course,India
CDA1193,Data Analytics Course,175,6505,469.28,20,6,0.3,2334,20-03-2024,Los Angeles,Mobile,data analytics course online course,USA
CDA1194,Data Analytics Course,404,8312,361.73,28,13,0.464,5811,20-10-2024,Chennai,Tablet,data analytics course online course,India
CDA1195,Data Analytics Course,235,5717,154.31,50,12,0.24,3492,07-02-2024,Melbourne,Desktop,data analytics course online course,Australia
CDA1196,Data Analytics Course,194,4615,493.28,23,7,0.304,1120,26-12-2024,Sydney,Tablet,data analytics course online course,Australia
CDA1197,Data Analytics Course,480,2621,130.87,49,7,0.143,2226,17-11-2024,Brisbane,Desktop,data analytics course online course,Australia
CDA1198,Data Analytics Course,271,4832,404.24,47,32,0.681,8928,24-03-2024,Boston,Desktop,data analytics course online course,USA
CDA1199,Data Analytics Course,123,8945,265.45,25,23,0.92,10028,25-02-2024,Abu Dhabi,Desktop,data analytics course online course,UAE
CDA1200,Data Analytics Course,499,4766,437.39,50,21,0.42,2919,22-05-2024,Vancouver,Tablet,data analytics course online course,Canada
CDA1201,Data Analytics Course,416,4459,404.8,45,39,0.867,6552,13-11-2024,Bangalore,Tablet,data analytics course online course,India
CDA1202,Data Analytics Course,107,4089,195.18,42,18,0.429,8892,15-05-2024,Montreal,Desktop,data analytics course online course,Canada
CDA1203,Data Analytics Course,314,6786,423.86,13,13,1,6006,23-01-2024,Pune,Mobile,data analytics course online course,India
CDA1204,Data Analytics Course,439,2686,456.98,27,26,0.963,7332,19-06-2024,Birmingham,Tablet,data analytics course online course,UK
CDA1205,Data Analytics Course,123,1677,165.44,7,1,0.143,338,18-02-2024,Vancouver,Desktop,data analytics course online course,Canada
CDA1206,Data Analytics Course,56,7225,171.96,9,8,0.889,888,24-06-2024,Manchester,Mobile,data analytics course online course,UK
CDA1207,Data Analytics Course,430,1330,204.72,10,4,0.4,1628,02-07-2024,Hyderabad,Tablet,data analytics course online course,India
CDA1208,Data Analytics Course,89,5647,298.11,14,12,0.857,1332,02-02-2024,Abu Dhabi,Mobile,data analytics course online course,UAE
CDA1209,Data Analytics Course,282,4606,445.6,40,12,0.3,2256,11-12-2024,Brisbane,Mobile,data analytics course online course,Australia
CDA1210,Data Analytics Course,274,6259,141.23,13,2,0.154,442,11-10-2024,Adelaide,Mobile,data analytics course online course,Australia
CDA1211,Data Analytics Course,290,6886,401.19,47,23,0.489,8901,28-10-2024,Dubai,Desktop,data analytics course online course,UAE
CDA1212,Data Analytics Course,413,7949,261.19,24,5,0.208,1665,21-10-2024,Sharjah,Tablet,data analytics course online course,UAE
CDA1213,Data Analytics Course,286,4532,422.25,36,34,0.944,3672,27-10-2024,Los Angeles,Mobile,data analytics course online course,USA
CDA1214,Data Analytics Course,188,8229,439.1,33,3,0.091,1446,13-06-2024,New York,Mobile,data analytics course online course,USA
CDA1215,Data Analytics Course,329,2914,449.61,46,1,0.022,142,13-06-2024,New York,Desktop,data analytics course online course,USA
CDA1216,Data Analytics Course,435,2733,300.24,32,9,0.281,2727,15-11-2024,Manchester,Tablet,data analytics course online course,UK
